,BMET10_Tumor
MIR1302-10,0
FAM138A,0
OR4F5,0
RP11-34P13.7,2
RP11-34P13.8,0
AL627309.1,8
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,343
RP4-669L17.10,5
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,0
RP5-857K21.2,0
RP5-857K21.3,0
RP5-857K21.4,1
RP5-857K21.5,0
OR4F16,0
RP11-206L10.3,6
RP11-206L10.5,0
RP11-206L10.4,0
RP11-206L10.2,13
RP11-206L10.9,26
AL669831.1,0
FAM87B,3
LINC00115,75
FAM41C,20
AL645608.2,0
RP11-54O7.16,1
RP11-54O7.1,19
RP11-54O7.2,1
RP11-54O7.3,4
SAMD11,22
AL645608.1,0
NOC2L,393
KLHL17,5
PLEKHN1,16
C1orf170,8
RP11-54O7.17,47
HES4,1
RP11-54O7.11,2
ISG15,3485
AGRN,507
RP11-54O7.18,0
RNF223,6
C1orf159,40
RP11-465B22.5,0
RP11-465B22.8,0
TTLL10-AS1,0
TTLL10,7
TNFRSF18,57
TNFRSF4,3463
SDF4,127
B3GALT6,46
FAM132A,29
RP5-902P8.12,1
UBE2J2,252
RP5-902P8.10,3
SCNN1D,2
ACAP3,23
PUSL1,109
CPSF3L,338
GLTPD1,163
TAS1R3,1
DVL1,93
MXRA8,247
AURKAIP1,1904
CCNL2,369
RP4-758J18.2,96
MRPL20,1643
RP4-758J18.13,6
ANKRD65,24
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,13
VWA1,450
ATAD3C,45
ATAD3B,74
ATAD3A,55
TMEM240,0
SSU72,528
AL645728.1,12
C1orf233,14
RP11-345P4.9,41
MIB2,50
MMP23B,7
CDK11B,201
RP11-345P4.10,9
SLC35E2B,189
RP11-345P4.7,3
CDK11A,178
SLC35E2,18
NADK,140
GNB1,686
RP1-140A9.1,4
CALML6,0
TMEM52,24
C1orf222,34
RP11-547D24.1,18
GABRD,181
RP11-547D24.3,0
PRKCZ,19
RP5-892K4.1,47
RP11-181G12.2,2
C1orf86,769
AL590822.2,11
AL590822.1,57
RP11-181G12.5,0
RP11-181G12.4,0
SKI,172
MORN1,42
AL589739.1,0
RER1,883
PEX10,90
PLCH2,1
RP3-395M20.2,0
RP3-395M20.3,0
PANK4,48
HES5,33
RP3-395M20.12,105
TNFRSF14,259
RP3-395M20.7,0
RP3-395M20.9,5
FAM213B,76
MMEL1,43
RP13-436F16.1,0
TTC34,0
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,2
PRDM16,7
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,9
RP11-168F9.2,0
MEGF6,8
RP11-46F15.2,8
TPRG1L,70
WRAP73,150
TP73,0
RP5-1092A11.5,0
RP5-1092A11.2,0
TP73-AS1,68
CCDC27,0
SMIM1,52
LRRC47,96
RP1-286D6.5,0
CEP104,101
DFFB,22
C1orf174,179
LINC01134,8
RP13-614K11.1,0
RP13-614K11.2,0
RP5-1166F10.1,0
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,11
RP11-542C10.1,0
RP1-58B11.1,0
RP11-154H17.1,0
NPHP4,24
KCNAB2,23
AL035406.1,0
CHD5,0
RPL22,17172
RP1-120G22.11,3
RNF207,26
ICMT,124
LINC00337,5
